,Location,GDP 2022,Total Population,Male Population,Female population,Households-Total,Sq Km,Persons per Sq. Km,PCI 2022,number of students enrolled in secondary schools,HDI,"Agriculture, Forestry & Fishing",Mining & Quarrying,Manufacturing,Electricity Supply,Water Supply; Waste Collection,Construction,Wholesale & Retail (Motor Repair),Transport & Storage,Accommodation & Food Service,Information & Communication,Financial & Insurance Activities,Real Estate Activities,Professional & Technical Services,Administrative Support Services,Public Administration & Defense,Education,Human Health & Social Work,Other Service Activities,Financial Services Indirectly Measured,GCP,Internet Penetration,Catholic,Protestant,Evangelicals,AIC,Orthodox,Others,Muslims,Poverty,Purchase Stock (%),Own Production (%),Gifts (%),electricity access Percentage,access to sanitation
10,KAKAMEGA,276484,1867579,897133,970406,433207,3016.62375,619.0957689038946,140535,199124,0.606,104332,2595,20348,618,1655,4952,16395,28878,2741,7224,4025,17228,4507,2997,22576,???,???,???,(???),???,14.5,306477,598611,560000,216000,6000,46000,88412,29.8,79.5,15.4,5.1,0.252,89.0
11,KERICHO,204443,901777,450741,451008,206036,2436.08845,370.17416177971694,216953,114816,0.619,88957,263,17518,1457,762,6820,13608,20723,2396,3777,4591,8898,2718,1713,14219,12420,4659,2148,-1447,204443,19.0,99000,396000,262000,56000,3000,39000,2423,31.5,70.7,26.0,3.3,0.451,84.3
12,KIAMBU,721205,2417735,1187146,1230454,795241,2538.69668,952.3528427192807,277147,174100,0.663,129360,7399,89309,11157,5826,120971,38219,87929,6573,15801,23340,64674,20467,13244,22113,34996,13160,23899,-7231,721205,42.7,588975,882779,525366,187238,17670,120492,21311,18.3,91.3,5.5,3.1,0.919,96.2
13,KILIFI,254799,1453787,704089,749673,298472,12553.26504,115.80947230601927,164626,98696,0.574,50640,5999,48324,1506,2413,3131,13141,41297,4774,7219,4455,22410,4331,2663,16442,15057,5253,7329,-1586,254799,15.1,95148,388893,307345,54980,2858,128298,253966,46.3,87.8,8.0,4.2,0.386,72.0
14,KIRINYAGA,160909,610411,302011,308369,204188,1478.31076,412.9111527267785,248397,63145,0.646,68366,2563,8115,584,603,981,9050,22024,5853,3265,2732,9346,3208,1583,9898,6169,3890,3669,-990,160909,24.1,179316,240600,122301,34072,2304,14564,2425,20.3,84.5,12.1,3.4,0.66,95.7
15,KISII,257751,1266860,605784,661038,308054,1323.27643,957.36610377017,193482,123009,0.613,114609,739,6221,510,791,9483,12776,46066,2681,1687,5742,10996,3661,2493,16674,14713,5732,3973,-1795,257751,16.0,429285,575994,190000,26000,2500,16000,2753,32.3,75.7,21.2,3.1,0.395,74.9
16,KISUMU,312651,1155574,560942,594609,300745,2085.43324,554.1169948935886,254663,123449,0.621,51868,2943,35763,5602,2270,24044,22519,58925,5434,5342,15158,36094,5729,3774,12180,16663,5645,7277,-4578,312651,23.9,224352,319349,290000,210000,10000,43000,17241,31.5,89.9,7.9,2.2,0.528,85.3
17,KITUI,161668,1136187,549003,587151,262942,30429.60586,37.3382095459057,133037,120489,0.602,49298,1169,4166,99,1289,4605,7506,29977,2059,3512,2275,8441,1686,1826,17344,15618,6045,4656,-902,161668,13.6,235032,500806,248778,60649,2297,30867,8898,37.7,88.3,8.2,3.5,0.172,78.5
18,KWALE,151362,866820,425121,441681,173176,8253.65541,105.02255751430748,164048,55779,0.573,47492,16388,7028,411,712,6468,2203,17155,5175,2619,1702,11283,1906,1174,15544,7093,4045,3521,-556,151362,12.4,43624,116453,82176,22193,720,47892,520160,36.3,80.2,9.3,10.5,0.311,57.2
19,LAIKIPIA,119575,518560,259440,259102,149271,9507.64111,54.54139402197103,217284,45397,0.635,31743,210,2933,394,1390,11795,11734,20021,2426,2729,3240,7792,1869,1792,10853,6011,1365,2684,-1034,119575,22.6,147752,152699,80701,35236,1648,27854,8475,30.5,84.0,11.2,4.8,0.427,82.1
20,LAMU,40164,143920,76103,67813,37963,6283.02473,22.906164814665626,246186,1033,0.62,11228,226,1297,93,100,217,3008,10292,337,855,508,2352,431,346,5600,1220,1423,834,-203,40164,19.4,13668,22397,16777,5598,258,7962,71786,30.1,88.0,9.1,2.9,0.436,66.6
21,MACHAKOS,378446,1421932,710707,711191,402466,6037.26955,235.5256773320648,257025,147033,0.633,61646,17349,78577,4694,1376,35180,36346,30164,4612,2992,7096,34880,7584,4609,16728,15513,5544,9402,-2121,378446,25.8,500155,582456,217122,55175,2405,23935,12984,31.8,89.8,8.9,1.4,0.482,88.8
22,MAKUENI,120539,987653,489691,497942,244669,8176.66642,120.78920054561796,116947,130305,0.595,33401,1147,4950,204,732,6580,12138,9868,2126,2624,1688,6504,3115,1849,12910,11117,4218,5027,-660,120539,16.1,292056,479698,131964,36575,981,13030,6559,33.2,84.0,12.3,3.7,0.204,85.3
23,MANDERA,63146,867457,434976,432444,125763,25942.15093,33.43812941111433,67518,27788,0.484,18328,320,1348,407,344,5231,1661,2743,150,869,867,3860,230,385,17825,3859,3801,1089,-170,63146,7.8,1775,1185,157,78,10,1615,856450,60.4,95.6,2.3,2.0,0.158,34.7
